review_id,overall_rating_score,overall_rating_quote,food_score,food_quote,service_score,service_quote,price_score,price_quote,ambiance_score,ambiance_quote
5dIleZpTxKwjRqBercHV1w,1.0,Great meal,1.0,very authentic and flavorful,1.0,Great service,,,,
LETLlxzUzv4eHkD84jea-Q,1.0,less than 4-5 stars,1.0,unreal,0.5,effective,,,,
9sXneDy_Oyd-n-bCUz6TLg,0.5,Mostly I enjoyed,0.5,Late breakfast -- debris,,,,,,
0tBSNwWA3eMtbBC2PgzQtQ,-1.0,One of the worst meals I have ever eaten,-1.0,Cold dry chicken,-1.0,Had to get our own silverware and refills on drinks,-1.0,save your money,-1.0,The place was dirty
YMiytO01Ocd6rT-0XWfacQ,-1.0,Don't believe the hype,-0.5,the food was mediocre,-0.5,the workers were pretty rude,,,-1.0,the floor and the tables were greasy
vbM-THkWu7o2KbFj0u38ug,0.0,just ok,-0.5,nothing special,,,,,,
vYxz_9dlsvTvtxscaQzE2w,1.0,a must,1.0,outstanding,1.0,great,,,,
khuy3aKkXP7TQzDEezNCYw,1.0,I highly recommend this place,1.0,Awesome,1.0,super efficient,,,,
eC2RdN3SF6JDw8Ki-yP5fA,1.0,Very yummy,1.0,Pancakes were awesome,,,,,,
E38mqkmYdhBOdtuKgz1sOA,1.0,Mother F'n good,1.0,Delicious,,,,,-0.5,waiting outside on a very long line
AFNU_ewy4gyz6vA-eckUdg,0.5,pretty dang good,0.5,pretty dang good,0.5,Service is good,,,,
30KC_FE9zy3w9vxkzSc-zg,1.0,Greatest food,1.0,excellent,,,,,,
n0vJotHYx5YfqdFwXRUl1A,-0.5,Great reputation bland food,-0.5,neither seasoned very well,,,,,0.5,Wall of Fame was nice to look at
HlQ22fPH7XZbJPDt1mfTfg,1.0,best sandwich I have ever had,1.0,So juicy it was running down my arm,,,,,,
fYpVtfrZpuF0kJYwte-GgQ,1.0,worth every penny,1.0,very good food,1.0,a smile on everyone,0.5,expensive for a counter service restaurant,-0.5,cafeteria atmosphere
r_x9h07lLy-Cuk5kgKy42A,0.0,"A solid meal, but nothing life changing",0.0,extremely simple,0.5,So sweet,,,,
A1lZffeOhBAbzwhxTsv1DQ,1.0,excellent,1.0,everything you could hope for,,,,,,
Y7jZwDW1pDHQTTe_V921cA,-0.5,Bland,-0.5,Bland,0.5,attentive,,,,
9bino3LdcjUF1W7Ef6MCiQ,1.0,one of the best dining experiences of my life,1.0,Every single thing was amongst the best of that food I've ever had,0.5,The staff seems to all be like a family and genuinely nice,,,0.5,it is a diamond in the rough
Nh8kI6rm-xqSJQmoKSKSxw,-1.0,bad versions of true New Orleans classic foods,-1.0,salty but still flavorless,-1.0,spoken to so badly or even ignored,,,,
QXyuVGT3DYcQTM74szlMRQ,-1.0,I won't be back,-1.0,Got sick when I got back to the hotel,,,,,,
8G9LFmD2dpYKUt3vIPZUOA,-1.0,THIS PLACE IS GROSS,0.5,the food tasted fine,-1.0,the service sucks; it's horribly slow,,,-1.0,it looks run down
