review_id,model_name,created_at_unix,input_tokens,output_tokens,total_tokens,total_time
5dIleZpTxKwjRqBercHV1w,llama-3.3-70b-versatile,1782801131,968,116,1084,0.354654801
LETLlxzUzv4eHkD84jea-Q,llama-3.3-70b-versatile,1782801131,989,118,1107,0.259581769
9sXneDy_Oyd-n-bCUz6TLg,llama-3.3-70b-versatile,1782801132,995,113,1108,0.403260034
0tBSNwWA3eMtbBC2PgzQtQ,llama-3.3-70b-versatile,1782801133,1031,145,1176,0.625021723
YMiytO01Ocd6rT-0XWfacQ,llama-3.3-70b-versatile,1782801134,1067,133,1200,0.370743863
vbM-THkWu7o2KbFj0u38ug,llama-3.3-70b-versatile,1782801134,1013,70,1083,0.2096537
vYxz_9dlsvTvtxscaQzE2w,llama-3.3-70b-versatile,1782801135,995,87,1082,0.220779684
khuy3aKkXP7TQzDEezNCYw,llama-3.3-70b-versatile,1782801136,1018,90,1108,0.311269109
eC2RdN3SF6JDw8Ki-yP5fA,llama-3.3-70b-versatile,1782801140,991,112,1103,0.261165255
E38mqkmYdhBOdtuKgz1sOA,llama-3.3-70b-versatile,1782801146,1037,95,1132,0.297991836
AFNU_ewy4gyz6vA-eckUdg,llama-3.3-70b-versatile,1782801152,1025,91,1116,0.272911466
30KC_FE9zy3w9vxkzSc-zg,llama-3.3-70b-versatile,1782801156,961,71,1032,0.355696029
n0vJotHYx5YfqdFwXRUl1A,llama-3.3-70b-versatile,1782801162,994,99,1093,0.28684054
HlQ22fPH7XZbJPDt1mfTfg,llama-3.3-70b-versatile,1782801185,963,80,1043,0.352746888
fYpVtfrZpuF0kJYwte-GgQ,llama-3.3-70b-versatile,1782801191,1037,134,1171,0.333911844
r_x9h07lLy-Cuk5kgKy42A,llama-3.3-70b-versatile,1782801198,1159,95,1254,0.345201139
A1lZffeOhBAbzwhxTsv1DQ,llama-3.3-70b-versatile,1782801203,1062,73,1135,0.230508339
Y7jZwDW1pDHQTTe_V921cA,llama-3.3-70b-versatile,1782801209,976,89,1065,0.276882096
9bino3LdcjUF1W7Ef6MCiQ,llama-3.3-70b-versatile,1782801215,1158,140,1298,0.426454992
Nh8kI6rm-xqSJQmoKSKSxw,llama-3.3-70b-versatile,1782801222,1147,103,1250,0.45188301
QXyuVGT3DYcQTM74szlMRQ,llama-3.3-70b-versatile,1782801226,972,80,1052,0.251026253
8G9LFmD2dpYKUt3vIPZUOA,llama-3.3-70b-versatile,1782801234,1347,119,1466,0.38803435
0tSlkEyJAscTXB3-gVJc2w,llama-3.3-70b-versatile,1782801240,1023,111,1134,0.315085503
E-6yK1WBbsc0p-sW2smrpQ,llama-3.3-70b-versatile,1782801246,976,71,1047,0.30055484
8yYiM8lSvyJDMg954EU8Pg,llama-3.3-70b-versatile,1782801250,983,92,1075,0.266478748
RlhgWWrnnUU4UlyPmbcy1w,llama-3.3-70b-versatile,1782801256,1015,99,1114,0.289813126
JeCwr9a7M_sGPbFrlyYk4A,llama-3.3-70b-versatile,1782801262,1023,130,1153,0.412313273
p1E0ePzI1KxgDkVCF9aX7g,llama-3.3-70b-versatile,1782801267,992,117,1109,0.265025711
EG19_sbz43AaPrBC2HXqew,llama-3.3-70b-versatile,1782801272,973,70,1043,0.213022952
2k009P4y2KEqemzpcbqETw,llama-3.3-70b-versatile,1782801278,980,103,1083,0.287680372
QlrdQMmO4SB7xcsthqb3iw,llama-3.3-70b-versatile,1782801283,980,119,1099,0.277221912
MXadzs4sUvIYpi9VMzCvcA,llama-3.3-70b-versatile,1782801289,1067,128,1195,0.380102269
gt_1mfLUKnftE6xfOR4pJA,llama-3.3-70b-versatile,1782801295,1065,140,1205,0.367171478
FypcjgVXZyqSphz3DMZgjA,llama-3.3-70b-versatile,1782801302,1118,123,1241,0.379702079
TpGeVTUZgjNGN9IAr6_o3A,llama-3.3-70b-versatile,1782801307,1002,88,1090,0.258605175
ugiQ5hc7ZkZUTewjPm-25w,llama-3.3-70b-versatile,1782801312,977,72,1049,0.178140159
hFsbQYZVCxNeNbZfh2LTog,llama-3.3-70b-versatile,1782801319,1070,99,1169,0.252189953
uioD6pjmqkM_lYJ5DFw8yA,llama-3.3-70b-versatile,1782801323,977,118,1095,0.286731893
y22XP0YkBCKBd1VUge_kNw,llama-3.3-70b-versatile,1782801329,1060,126,1186,0.334054197
aQakA46n1xvIWl7PXmAS_g,llama-3.3-70b-versatile,1782801336,1228,128,1356,0.370826081
ERdK67sTT5LNDxiGBRdPoQ,llama-3.3-70b-versatile,1782801342,1034,126,1160,0.37754563
2w0YDfpOWwxnxqhjw7ITcA,llama-3.3-70b-versatile,1782801347,959,123,1082,0.313182348
pmyEXLtyovjuRbPSwaX-vg,llama-3.3-70b-versatile,1782801353,974,114,1088,0.268397288
PxYIzvMnycY6yVhllv4vXQ,llama-3.3-70b-versatile,1782801359,991,123,1114,0.35089103
tJ9htfCsiyvk8p2zngXspQ,llama-3.3-70b-versatile,1782801364,974,97,1071,0.30215099
fTRJ99zIGco6bhTxrDTxyA,llama-3.3-70b-versatile,1782801370,1088,128,1216,0.416501001
vIhwHAFgqadmoOsBB-fpiw,llama-3.3-70b-versatile,1782801375,1006,132,1138,0.374122686
-P5UnsmTLKg73cuWDslMog,llama-3.3-70b-versatile,1782801382,1050,127,1177,0.392811303
QucIX7-GhDnJAQB2iPh4zQ,llama-3.3-70b-versatile,1782801387,996,117,1113,0.369316485
rh-2TRV8imhYnAV_1fcO_w,llama-3.3-70b-versatile,1782801552,1083,142,1225,0.548296618
