review_id,model_name,created_at,total_duration_ns,load_duration_ns,prompt_eval_duration_ns,generation_duration_ns,input_token_count,output_token_count
5dIleZpTxKwjRqBercHV1w,llama3.2,2026-06-25T22:46:30.213198Z,3073474416,115305125,171235000,2784785000,942,120
LETLlxzUzv4eHkD84jea-Q,llama3.2,2026-06-25T22:46:33.310647Z,3093044833,96911208,170902000,2823207000,963,122
9sXneDy_Oyd-n-bCUz6TLg,llama3.2,2026-06-25T22:46:36.583233Z,3268293000,96245542,254421000,2915008000,969,126
0tBSNwWA3eMtbBC2PgzQtQ,llama3.2,2026-06-25T22:46:40.146397Z,3558043625,103400500,324086000,3127705000,1005,135
YMiytO01Ocd6rT-0XWfacQ,llama3.2,2026-06-25T22:46:43.508934Z,3358600583,101996750,406681000,2847145000,1041,123
vbM-THkWu7o2KbFj0u38ug,llama3.2,2026-06-25T22:46:46.414045Z,2900895000,98869375,255326000,2544169000,987,110
vYxz_9dlsvTvtxscaQzE2w,llama3.2,2026-06-25T22:46:49.405921Z,2987610042,100398459,250763000,2633703000,969,114
khuy3aKkXP7TQzDEezNCYw,llama3.2,2026-06-25T22:46:52.379026Z,2968983834,104492084,257283000,2604524000,992,113
eC2RdN3SF6JDw8Ki-yP5fA,llama3.2,2026-06-25T22:46:55.419502Z,3036362083,102443250,178279000,2753537000,965,119
E38mqkmYdhBOdtuKgz1sOA,llama3.2,2026-06-25T22:46:58.592713Z,3168621875,103705667,338648000,2723560000,1011,118
AFNU_ewy4gyz6vA-eckUdg,llama3.2,2026-06-25T22:47:01.761747Z,3164087792,148168917,335643000,2676656000,999,115
30KC_FE9zy3w9vxkzSc-zg,llama3.2,2026-06-25T22:47:04.835072Z,3068617750,105413958,171246000,2789710000,935,120
n0vJotHYx5YfqdFwXRUl1A,llama3.2,2026-06-25T22:47:08.339567Z,3500174167,161893083,252288000,3082774000,968,132
rh-2TRV8imhYnAV_1fcO_w,llama3.2,2026-06-25T22:47:12.207492Z,3862848041,113609333,440904000,3305081000,1057,141
HlQ22fPH7XZbJPDt1mfTfg,llama3.2,2026-06-25T22:47:15.485667Z,3273389125,140829083,172030000,2958104000,937,127
fYpVtfrZpuF0kJYwte-GgQ,llama3.2,2026-06-25T22:47:19.414705Z,3924983791,114521666,347838000,3459785000,1011,147
r_x9h07lLy-Cuk5kgKy42A,llama3.2,2026-06-25T22:47:23.647965Z,4228660375,151709041,716063000,3356327000,1133,141
A1lZffeOhBAbzwhxTsv1DQ,llama3.2,2026-06-25T22:47:26.911409Z,3258697000,113565541,460724000,2681122000,1036,113
Y7jZwDW1pDHQTTe_V921cA,llama3.2,2026-06-25T22:47:30.296051Z,3379355333,107201791,204597000,3065398000,950,125
9bino3LdcjUF1W7Ef6MCiQ,llama3.2,2026-06-25T22:47:34.823472Z,4522801792,114568750,906869000,3497811000,1132,140
Nh8kI6rm-xqSJQmoKSKSxw,llama3.2,2026-06-25T22:47:39.222297Z,4393181375,100496208,860931000,3428585000,1121,136
QXyuVGT3DYcQTM74szlMRQ,llama3.2,2026-06-25T22:47:42.415859Z,3188554041,99235125,243069000,2844121000,946,109
8G9LFmD2dpYKUt3vIPZUOA,llama3.2,2026-06-25T22:47:47.715536Z,5295010791,99268833,1709930000,3482302000,1321,134
0tSlkEyJAscTXB3-gVJc2w,llama3.2,2026-06-25T22:47:51.349386Z,3629248916,99486333,407222000,3119574000,997,113
E-6yK1WBbsc0p-sW2smrpQ,llama3.2,2026-06-25T22:47:54.917504Z,3563489667,98847333,266326000,3196040000,950,112
8yYiM8lSvyJDMg954EU8Pg,llama3.2,2026-06-25T22:47:59.510051Z,4587743334,99528375,277451000,4208644000,957,143
